e, e_dot, e_int, stamp, 
-0.1493189118807661, 0.0, -0.02986378237615322, 20741000000, 
-0.17425171902649994, -0.08310935715244615, -0.03152596951920214, 35871000000, 
-0.17428047349650672, -0.08320520538580206, -0.033190073626918185, 35973000000, 
-0.14222221833317786, 0.10676500231107361, -0.032716960723745636, 36075000000, 
-0.139711371030763, 0.11523034155247903, -0.030414270857363174, 36177000000, 
-0.13349617793408916, 0.029086801330295658, -0.02769531781986867, 36245000000, 
-0.12331463243545988, 0.054655795317677065, -0.026434812093354135, 36347000000, 
-0.11576163613540374, 0.059115139328951384, -0.024838163100330185, 36449000000, 
-0.11333575471289087, 0.033262925741896716, -0.02349413488558363, 36551000000, 
-0.10927858395409326, 0.02161017393770161, -0.022558398320159195, 36653000000, 
-0.10435026061410158, 0.02995164699596431, -0.02179763995207238, 36755000000, 
-0.10192742242892487, 0.0245038717505613, -0.021037084466474645, 36857000000, 
-0.09962501272999646, 0.015750826280350367, -0.02039351305153486, 36959000000, 
-0.09624533007068373, 0.018940307860803817, -0.01985318434864034, 37061000000, 
-0.09305829726657493, 0.02188905154473846, -0.019261909337817008, 37163000000, 
-0.09046724874375972, 0.019260271089746688, -0.018651391738734556, 37265000000, 
-0.0875939939399901, 0.01821434442194944, -0.018074635996688317, 37367000000, 
-0.08464001604871449, 0.019424108983484106, -0.017513417248830952, 37469000000, 
-0.08212715737845197, 0.018222788538460415, -0.016957411157810433, 37571000000, 
-0.0799696453887477, 0.015567902199889275, -0.016449121254394277, 37673000000, 
-0.07800790878735658, 0.013730828636984624, -0.016006980770303752, 37775000000, 
-0.07638472530678708, 0.011949733606535414, -0.01562415196552609, 37877000000, 
-0.07500667248738782, 0.010004120999895874, -0.015293287105435432, 37979000000, 
-0.073726876060689, 0.008859497486993587, -0.015007884923657594, 38081000000, 
-0.25443607014991854, -0.5980979922084356, -0.02687797457986636, 38149000000, 
-0.25296087547627644, -0.5974466647186247, -0.038741588112458925, 38251000000, 
-0.25157740698688713, 0.009528877210104683, -0.050598290174205474, 38353000000, 
-0.2504018953928266, 0.008529933611499488, -0.05032934519039934, 38455000000, 
-0.2371175949284699, 0.04819937352805744, -0.049273126487212236, 38557000000, 
-0.1996862869115273, 0.16905202827099766, -0.04581371848218825, 38659000000, 
-0.1744364622317949, 0.20893710898891663, -0.040749356271452805, 38761000000, 
-0.16780190149089297, 0.10628128473544773, -0.036128310042281016, 38863000000, 
-0.1586177683444946, 0.05272897962433437, -0.033390408804478834, 38965000000, 
-0.1505275131089021, 0.05758129460663619, -0.03179647886295264, 39067000000, 
-0.14884830892900885, 0.03256486471828579, -0.030532906025493703, 39169000000, 
-0.14835851888051133, 0.0072299807613026195, -0.029848956061228154, 39271000000, 
-0.142850508061455, 0.019992669558512866, -0.029337155724731678, 39373000000, 
-0.13577473506963472, 0.041945946036255344, -0.028465584134106735, 39475000000, 
-0.12930036712401055, 0.04516713645814815, -0.02719504068367335, 39577000000, 
-0.1221667135422661, 0.045360071757895394, -0.025816121049060756, 39645000000, 
-0.11472686449341196, 0.0485783421019953, -0.024412929677312574, 39747000000, 
-0.10807520219178984, 0.04697170450158753, -0.022997918681831195, 39849000000, 
-0.10214934789101182, 0.041925055341333804, -0.02166342763841424, 39951000000, 
-0.09675789282906005, 0.03772436454243263, -0.020465496194124116, 40053000000, 
-0.09192532221819599, 0.034080085576052764, -0.019388837529217856, 40155000000, 
-0.08791765135753066, 0.02946747157176466, -0.018440057760319113, 40257000000, 
-0.08444163310619407, 0.024945630373339744, -0.017618973778794716, 40359000000, 
-0.08095389867786107, 0.02321250893223196, -0.016887545542772386, 40461000000, 
