imu_ax, imu_ay, kf_ax, kf_ay, kf_vx, kf_w, kf_x, kf_y, stamp, 
-0.08861077778905742, -0.006757887704811514, -0.07286689517490297, 7.478497712084563e-11, -0.0012839771235257334, -5.824478937404277e-08, -1.9993369924318485, -0.5000009940876237, 17354000000, 
-0.05966757513968935, 0.03752936524445393, -0.06268718951692936, 1.335631072171031e-07, -0.003641919219774678, -3.667382474929428e-05, -1.9987084589949538, -0.5000009932067658, 17454000000, 
-0.08606474818705698, 0.01595189961791223, -0.08029771987585335, 1.3503648572791775e-07, -0.0025524000987577162, -5.2905688960614615e-05, -1.998716385764776, -0.5000009925614644, 17550000000, 
-0.07317748740948157, -0.0002769934075329382, -0.07486982905849217, 3.1370683074865144e-08, -0.002517085963035095, -1.2463095633427818e-05, -1.9986982846351882, -0.5000009924168292, 17645000000, 
-0.03990370882319738, 0.011564979024014382, -0.048410640761240256, 5.724796427659024e-08, -0.002281333076722886, -2.5094084182931507e-05, -1.9987199121518104, -0.5000009918750998, 17745000000, 
-0.07482742151221632, 0.04086358196150559, -0.06833003148267049, 1.4229538884774527e-07, -0.0018574296207729052, -7.66087647447627e-05, -1.9987602062388568, -0.5000009911016807, 17851000000, 
-0.02246847540864446, 0.012659348870625383, -0.033647793910398946, 6.952518402435037e-08, -0.0019022255087538312, -3.654939107082897e-05, -1.998755702201845, -0.500000991064825, 17947000000, 
-0.06345753320527997, 0.0011289319926459792, -0.05613853771853242, 1.5139466836298115e-08, -0.0014276753648665326, -1.0604278261615476e-05, -1.9988028553945252, -0.5000009897684834, 18047000000, 
-0.014871492273424408, -0.018031087399053753, -0.024934630064488796, -2.5509915087384016e-08, -0.0015180446590803785, 1.6804456268656653e-05, -1.998793363418402, -0.500000989912109, 18147000000, 
-0.06700772480733601, 0.00919642510965098, -0.056694435467860155, 7.616048929918963e-09, -0.0011752455617494552, -6.480389441830193e-06, -1.9988269731645345, -0.5000009889719873, 18249000000, 
-0.032963613078563866, 0.014347486050103275, -0.03873692658639806, 2.2380685085967755e-08, -0.0015578752023487335, -1.4366160429426872e-05, -1.9987884458200655, -0.5000009899242428, 18344000000, 
-0.06882057131814967, 0.009638356012169846, -0.06143396869389565, 2.186934556041229e-08, -0.001466267204511984, -1.4914979679771968e-05, -1.9987972575625539, -0.5000009896705853, 18444000000, 
-0.03689047649388023, -0.009729520362926791, -0.04285859130806628, -1.2372625101794683e-08, -0.0017498733389078166, 7.070583239765832e-06, -1.9987687893889554, -0.5000009904013084, 18544000000, 
-0.05267385323445736, 0.025261189286769303, -0.0502437911955894, 4.7782692255824087e-08, -0.0015069437249932089, -3.17083454831994e-05, -1.9987918036523744, -0.5000009896538157, 18644000000, 
-0.06301507913217837, -0.004282994331152985, -0.05985884554750117, 4.867146213022743e-09, -0.0016564508030324013, -2.938298079310683e-06, -1.998776867138986, -0.5000009900841415, 18744000000, 
-0.06929205390612281, -0.0017554732483918238, -0.06694748575057541, -2.7113536789420228e-09, -0.001906437739658799, 1.4222094026670297e-06, -1.9987516631073796, -0.5000009907388003, 18844000000, 
-0.07494516571852142, 0.011968982457391765, -0.07294683131669005, 3.626277849984071e-08, -0.002140906804600497, -1.693804626241426e-05, -1.998728010326022, -0.5000009913836916, 18944000000, 
-0.05687303597282304, 0.0057451619191451735, -0.060760591879771744, 3.0059001758836815e-08, -0.00222616254116718, -1.3502608728236368e-05, -1.998719325250323, -0.5000009916270889, 19045000000, 
-0.0552740946955263, -0.031041423929106363, -0.05657679071073587, -9.745412737514593e-08, -0.0019953474768241468, 4.884067988511794e-05, -1.9987419411691525, -0.500000990951345, 19145000000, 
-0.08003445571044171, -0.03776847545859562, -0.07425680210390126, -1.3857067182420197e-07, -0.002013281793721392, 6.882825457238406e-05, -1.9987412369756434, -0.5000009910285358, 19245000000, 
-0.06573867950324656, -0.005859060277445133, -0.06777917658036081, -5.7116669919141714e-08, -0.0022238676665269786, 2.5683484129404607e-05, -1.998718497092923, -0.5000009918416716, 19345000000, 
-0.02331143178922554, 0.027697134012237355, -0.03414825423203322, 7.999720947724117e-08, -0.001984510613573286, -4.031079951404198e-05, -1.9987428529705886, -0.5000009914675865, 19445000000, 
-0.041223366748365554, -0.020412063171365107, -0.03946623974146923, -2.795843305190521e-08, -0.0013515228226539016, 2.0686615559332522e-05, -1.9988061003935225, -0.5000009903788475, 19540000000, 
-0.07112814891179878, -0.009978261581997133, -0.06335600696891718, -2.190632115832577e-08, -0.001441514928437796, 1.519673554963886e-05, -1.9987967862575586, -0.5000009905221069, 19645000000, 
-0.031324036151634815, -0.011356552693396386, -0.03912424026123122, -2.7868545595476014e-08, -0.0017379366280530894, 1.603542105369834e-05, -1.9987667340475297, -0.5000009912004176, 19740000000, 
-0.04620274620629571, -0.018787485177715977, -0.04444359411182745, -4.0369952041770174e-08, -0.0014147867364823416, 2.8534302026427036e-05, -1.9987991433380963, -0.5000009906731051, 19841000000, 
-0.0739554368764708, 0.017469278145320094, -0.06670656352963455, 1.8426528374724155e-08, -0.001568972541613478, -1.1744328142145138e-05, -1.9987832874767217, -0.5000009909860813, 19941000000, 
-0.04792686666976384, -0.009374661428101214, -0.05248227765167592, -1.570678259094386e-08, -0.0019158130081361182, 8.19849459432624e-06, -1.9987480486380749, -0.5000009916579485, 20041000000, 
-0.06801986821455472, -0.0001699312707751212, -0.06418396216291625, -4.012642317071363e-09, -0.0018181760342975955, 2.2069602950308065e-06, -1.9987573527038518, -0.5000009914987641, 20136000000, 
-0.04839458001584812, 0.010361278006890118, -0.05221805046819056, 2.6619370108307265e-08, -0.001938095381899388, -1.3734809110488428e-05, -1.9987452033450903, -0.5000009916830817, 20236000000, 
-0.03704949228348742, 0.011832361867697967, -0.040726618364190094, 3.461671418222264e-08, -0.001669539568675554, -2.0734287962808863e-05, -1.9987714680552724, -0.5000009912515223, 20331000000, 
-0.06361016293842414, 0.0014027815362887624, -0.057983696515546676, 1.0387804806769448e-08, -0.0015070247864752036, -6.892922332794271e-06, -1.9987873088251238, -0.5000009909387217, 20436000000, 
-0.03411873145666261, 0.01047880799622956, -0.039922582504883966, 2.2879833022215504e-08, -0.0016727777748155662, -1.3677748094625506e-05, -1.9987707032702433, -0.5000009911656826, 20531000000, 
-0.06076971939983791, 0.02785799374955935, -0.05564190866144683, 5.699172504790131e-08, -0.0014770119208589068, -3.858582604719919e-05, -1.998789600824084, -0.5000009906929146, 20631000000, 
-0.05691389093383052, 0.022998741965352204, -0.05656796356907635, 6.140482453429677e-08, -0.001746455348429577, -3.515968764361045e-05, -1.9987629310211261, -0.5000009911771018, 20731000000, 
-0.07456964624377094, 0.00650263094125966, -0.07013059886110314, 3.221892799024438e-08, -0.0018687727469463402, -1.7240688062736132e-05, -1.9987494146666738, -0.5000009913427089, 20831000000, 
-0.05455603343932688, 0.012772552910583478, -0.038724985619918405, 1.559254355744079e-07, -0.006989538401141138, -2.230840244742785e-05, -1.940205277893425, -0.500002667707392, 35940000000, 
-0.04583242902341494, 0.008332196932073103, -0.04401485199788392, 1.2551960083806002e-07, -0.0025357506390639023, -4.949997799641562e-05, -1.9400939000026465, -0.5000025262267414, 35950000000, 
5.706173465833782, -0.020180445701911787, 4.298484528022258, 1.2142610063345312e-06, 0.07703564680998717, 1.5762326359504392e-05, -2.0180552058356183, -0.5000001531666547, 36042000000, 
-0.0402326890934937, -0.012300963153255365, 1.0194438941595623, -0.015009625698529915, 0.17813690502118806, -0.08425893386182179, -2.0041084567212937, -0.5000358897500676, 36137000000, 
-0.055198606102926095, -0.03776599570656391, 0.20687711345976478, -0.020816938291977734, 0.1397685205787838, -0.14893867521652543, -1.9892504086429308, -0.5001791728319701, 36243000000, 
-0.00702296754164522, 0.0015635344787432951, 0.04501076257674208, -0.015657097947665958, 0.11178723798886997, -0.14006158689800394, -1.9766907890053749, -0.5004188773177459, 36343000000, 
-0.07291564504445308, -0.03935231986992048, -0.04412012410666509, -0.00591291134603037, 0.10687346403865348, -0.05532628140407067, -1.965709885224884, -0.5007742958881316, 36438000000, 
-0.060043759359671794, -0.00856493904315224, -0.056160007692882395, -0.006480455933821268, 0.10041869633294206, -0.06453435635466792, -1.9550746502448622, -0.501252311811992, 36543000000, 
0.06026271931469333, -0.0031923482334251328, 0.03180177312071041, -0.009045447364808801, 0.0991940582034515, -0.09118940719469487, -1.944969513555138, -0.5017673777899003, 36638000000, 
-0.22958098876967664, 0.022439968321941554, -0.1656542763319946, -0.005775727735057592, 0.09695171063186452, -0.059573242157517116, -1.9350372704367997, -0.5023398641997996, 36739000000, 
-0.23893277931504237, 0.0070352997460509485, -0.220916750149422, -0.004704298580249622, 0.09381171798271218, -0.05014617236960248, -1.9249226357172886, -0.5030069050125824, 36840000000, 
-0.06551777632589575, -0.0236643464054823, -0.10340054942423739, -0.006108640757392057, 0.09431561350200655, -0.06476807530136139, -1.9149246390266368, -0.5037254896921349, 36940000000, 
-0.06893770425355254, 0.028266722293130292, -0.07730382626424863, -0.00622582633611303, 0.09455424908189096, -0.06584396149898039, -1.9052118019063642, -0.5044763785630382, 37041000000, 
-0.042174669651385846, 0.018004652030652137, -0.05071321380522889, -0.005415119017332728, 0.09583096113454558, -0.05650698848496325, -1.895463409717802, -0.5052928469831038, 37141000000, 
-0.045967857540318055, -0.033999199309186545, -0.04707667873992594, -0.005924033372343381, 0.09908213088523421, -0.059789119586105055, -1.8857168853722202, -0.5061724462496456, 37242000000, 
-0.0803097238580474, -0.03330205652166439, -0.07214312324091052, -0.0064019746592271975, 0.09976032662697715, -0.06417355351256417, -1.8756391758214523, -0.5071403291233464, 37342000000, 
-0.08096906040690557, -0.014257966185864068, -0.07877126295829129, -0.005834647809415186, 0.09858096915701257, -0.05918635066492585, -1.8655438219263936, -0.508171462080954, 37437000000, 
-0.07447493184460355, -0.02395684939607911, -0.07547566404857739, -0.005445584659536691, 0.09862560246243252, -0.055214716296521166, -1.8554569277343154, -0.5092653628740165, 37542000000, 
-0.03741007278906025, -0.008148474141096753, -0.04668002757199067, -0.005271068100392116, 0.09822104219981066, -0.05366536520422176, -1.8455177564975558, -0.5104021007306399, 37637000000, 
-0.09237963604272016, 0.01164182403188909, -0.08117084569765096, -0.004965660873673761, 0.09762154174724996, -0.05086644591754407, -1.8355858687071602, -0.5115926130375993, 37742000000, 
-0.030293064201174558, 0.0062508934277412664, -0.04269331284508309, -0.004686959745654946, 0.09732771166434975, -0.04815647738455703, -1.825672114461785, -0.5128341760558558, 37842000000, 
-0.05715621818345989, -0.008632542059758067, -0.05358309291805829, -0.004726389306026228, 0.09843054109006372, -0.04801750811977751, -1.815856869378679, -0.5141135762456769, 37942000000, 
-0.042389142686830826, -0.022899759721407023, -0.04509004158828665, -0.004887388375037025, 0.09906264186354433, -0.04933634196601832, -1.8058778589356614, -0.5154632794326934, 38042000000, 
-0.04491069558754191, -0.014540779797895316, -0.04492582724051641, -0.004849714314276323, 0.09909765519524542, -0.04893873931447982, -1.7959395240036913, -0.5168566034212859, 38143000000, 
-0.02650339790249676, -0.010762147212239994, -0.030983240108145696, -0.004782181828650676, 0.09907791698973802, -0.04826687897713867, -1.786040214074317, -0.5182940823898987, 38243000000, 
-0.041049735721878235, 0.004790033754459744, -0.038569036139040676, -0.004629881047068677, 0.09870597765037283, -0.04690578177005868, -1.7761239136979616, -0.5197831635062831, 38343000000, 
-0.11151799432962173, 0.03214991141528362, -0.09365245826255506, -0.004295176164629715, 0.09717116510609611, -0.044202167998500755, -1.7662625818252164, -0.5213121293376801, 38443000000, 
-0.011983945313298904, -0.229362936001026, -0.03187637466269585, -0.043415550705711875, 0.10196088195013753, -0.4258059549440109, -1.7562762218667813, -0.5229466887166918, 38543000000, 
-0.0408590220957294, 0.013722591832212321, -0.03874297394403002, -0.03189585546060095, 0.08585551328159158, -0.3715061996774503, -1.7466721189366565, -0.5246428728815359, 38643000000, 
-0.03181679178312807, -0.039897771370382876, -0.03338245854785509, -0.008674273997592045, 0.10338595778300125, -0.08390185846900644, -1.7374318124051535, -0.5266323212977216, 38743000000, 
-0.07131562294859152, -0.03087636833150416, -0.062025205330073774, -0.01125761246630746, 0.10116880022757353, -0.1112755359457075, -1.7273991381991207, -0.529131242970685, 38843000000, 
-0.061735146754861046, 0.04653134498598979, -0.06181198910715219, -0.01198966540764367, 0.09400732159276834, -0.12753969802035073, -1.717621827229083, -0.5316622305389888, 38936000000, 
-0.06637643193480536, -0.01450434624813068, -0.06519603542733841, -0.005355682688630232, 0.09793554888786979, -0.054685788250006764, -1.7082140773896608, -0.5342041685867434, 39036000000, 
-0.05266929902712915, 0.07195339380392782, -0.055712410148606686, -0.0006957423772678441, 0.09499270250241529, -0.00732416658269254, -1.6986662439381288, -0.5368946497858512, 39136000000, 
-0.054680166125046836, -0.05681853580449225, -0.054879249510009304, -0.006749663732371265, 0.09782747512140051, -0.0689955835412819, -1.6893152883747757, -0.5395807444080745, 39236000000, 
-0.04829720496329183, -0.02473565605018063, -0.049864863625926986, -0.009640155098961302, 0.09908787324477719, -0.09728894952813434, -1.6796981678159135, -0.5423681628184623, 39336000000, 
-0.04899342574984693, -0.047572846596943746, -0.049159569225457035, -0.008752891675236015, 0.10151995305833934, -0.08621843698259088, -1.6699644053934513, -0.5452676092082661, 39441000000, 
-0.06156861425578863, -0.013924637959998255, -0.05851338232954915, -0.008939830771414364, 0.09956180379911887, -0.0897917718470814, -1.6601916947241377, -0.5482805440181007, 39541000000, 
-0.05182793381522606, -0.017305437251882626, -0.05342911262964771, -0.009715588865243692, 0.09911696365929393, -0.09802145371038802, -1.650492146531653, -0.5513640619413397, 39641000000, 
-0.08200931714512252, -0.02675168228265266, -0.07497773456190324, -0.00894734795043183, 0.09979168610832172, -0.08966025426927528, -1.6409062210729644, -0.5545077767361237, 39741000000, 
-0.020249645512466698, -0.037628953002612694, -0.03358964335677895, -0.008001262465128924, 0.10051753681235451, -0.07960066192296006, -1.6312333969774724, -0.5577819792733254, 39836000000, 
